,total_length,total_length,total_length,total_length,total_length,total_length,total_length,total_length,number,number,number,number,number,number,number,number,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,longest,longest,longest,longest,longest,longest,longest,longest,shortest,shortest,shortest,shortest,shortest,shortest,shortest,shortest,N_count,N_count,N_count,N_count,N_count,N_count,N_count,N_count,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,N50,N50,N50,N50,N50,N50,N50,N50,N50n,N50n,N50n,N50n,N50n,N50n,N50n,N50n,N70,N70,N70,N70,N70,N70,N70,N70,N70n,N70n,N70n,N70n,N70n,N70n,N70n,N70n,N90,N90,N90,N90,N90,N90,N90,N90,N90n,N90n,N90n,N90n,N90n,N90n,N90n,N90n
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
blicheniformis,199.0,4277775.984924623,144222.05691692326,3705824.0,4170965.5,4265203.0,4357465.5,4824459.0,199.0,54.95477386934673,76.99359126435097,1.0,18.0,29.0,63.0,520.0,199.0,759088.64959799,1424530.2833249983,8159.93,67523.015,144753.07,242228.71500000003,4475542.0,199.0,1475545.6281407035,1472411.5986774352,40145.0,521914.5,763688.0,1879511.0,4544416.0,199.0,564266.1809045227,1448181.5191760103,126.0,271.5,566.0,1584.0,4475542.0,199.0,779.8391959798995,8266.224148363095,0.0,0.0,41.0,234.0,116693.0,199.0,4.633165829145729,13.582189225943349,0.0,0.0,2.0,6.0,174.0,199.0,1193346.0753768843,1597310.3658063936,12096.0,201558.5,372498.0,1046799.0,4544416.0,199.0,6.78391959798995,10.270018279840126,1.0,2.0,4.0,7.0,96.0,199.0,1037857.527638191,1620910.2696533187,8755.0,124878.0,216459.0,764580.5,4544416.0,199.0,12.025125628140703,19.194758645365532,1.0,3.0,7.0,12.0,169.0,199.0,897822.5929648242,1660277.3299032291,3791.0,52304.0,97968.0,209089.0,4544416.0,199.0,21.824120603015075,35.579960043151395,1.0,6.0,13.0,25.0,284.0
bpilosicoli,20.0,2669262.5,111555.23876891428,2546568.0,2588253.5,2620958.0,2745993.75,2907446.0,20.0,39.05,59.09089786529153,1.0,2.75,15.0,56.75,251.0,20.0,743479.7035,1055572.7055752107,11583.45,47770.8425,193740.45,1009868.375,2889522.0,20.0,1428346.65,1106637.374527293,129964.0,319191.5,1295545.5,2586509.75,2889522.0,20.0,553416.05,1103942.8205234217,311.0,503.5,514.0,73305.25,2889522.0,20.0,1484.1,6633.567182777381,0.0,0.0,0.0,0.0,29667.0,20.0,2.25,8.372102798171907,0.0,0.0,0.0,0.0,37.0,20.0,1355629.25,1178570.8484209918,56982.0,177621.25,1258545.5,2586509.75,2889522.0,20.0,4.15,4.392277912787156,1.0,1.0,1.5,6.25,17.0,20.0,1312727.45,1211380.8352030371,36040.0,82457.0,1137210.0,2586509.75,2889522.0,20.0,6.65,7.808733302493668,1.0,1.0,2.0,10.5,29.0,20.0,1225742.6,1235327.7986046073,16557.0,35224.25,876182.5,2586509.75,2889522.0,20.0,11.65,14.521399816532115,1.0,1.0,2.0,20.25,50.0
bpseudomallei,1697.0,7139661.157336476,122513.23831292363,6439727.0,7074187.0,7124009.0,7186706.0,7814142.0,1697.0,129.03535651149087,138.63922970548762,1.0,76.0,100.0,151.0,1888.0,1697.0,473981.56955804356,1112460.1324637248,3552.75,47238.36,70764.05,93554.72,7204939.0,1697.0,934815.8208603418,1246711.3954141047,44058.0,336529.0,488519.0,722773.0,7386305.0,1697.0,320985.53329404833,968644.0663894996,84.0,305.0,333.0,516.0,7204939.0,1697.0,904.0783736004714,11103.163149839038,0.0,0.0,46.0,189.0,285653.0,1697.0,12.180907483794932,55.479106753842835,0.0,0.0,4.0,8.0,748.0,1697.0,658981.5556865056,1334095.4406264073,5850.0,103399.0,162261.0,240029.0,7386305.0,1697.0,18.3305833824396,20.46360584894725,1.0,10.0,14.0,22.0,299.0,1697.0,506804.91985857394,1091237.1249136573,3554.0,71032.0,108516.0,151647.0,7386305.0,1697.0,32.780200353565114,39.617950050872395,1.0,18.0,25.0,39.0,595.0,1697.0,452239.11844431347,1089112.9071885706,1530.0,32295.0,54062.0,79018.0,7386305.0,1697.0,58.06423099587507,76.77520174560719,1.0,30.0,42.0,67.0,1162.0
bsubtilis,463.0,4138886.7321814257,115856.62175450029,3876276.0,4056878.5,4126713.0,4210985.5,4935951.0,463.0,42.481641468682504,94.08315371919653,1.0,1.0,15.0,46.5,1210.0,463.0,1578759.8494168466,1816481.6364774457,3823.1,91167.405,268361.6,4044646.0,4457201.0,463.0,2298289.084233261,1604147.2877686266,62099.0,1022692.0,1457242.0,4104294.0,4457201.0,463.0,1314222.6911447083,1918432.153710339,100.0,263.0,1117.0,4044646.0,4457201.0,463.0,1748.2958963282938,17452.03598961504,0.0,0.0,0.0,10.0,285596.0,463.0,5.773218142548596,38.437479114272094,0.0,0.0,0.0,1.0,774.0,463.0,2163069.766738661,1721892.281199149,11158.0,611482.0,1062805.0,4104294.0,4457201.0,463.0,3.8250539956803458,7.6050833668381745,1.0,1.0,2.0,3.0,106.0,463.0,2011718.120950324,1820973.218620047,7205.0,331292.0,1008103.0,4104294.0,4457201.0,463.0,6.323974082073434,14.068893867276042,1.0,1.0,3.0,5.0,196.0,463.0,1816899.1339092872,1955964.8348415077,3263.0,126596.5,298287.0,4104294.0,4457201.0,463.0,11.110151187904968,25.685551983810342,1.0,1.0,5.0,9.0,354.0
cbotulinum,250.0,3878554.888,394197.6087994144,2702994.0,3816157.5,3943908.5,4110191.75,4699392.0,250.0,69.32,75.61029869717687,1.0,13.0,51.0,102.5,684.0,250.0,592700.08096,1112269.0378377098,5691.95,34918.259999999995,78720.815,316996.8825,4155278.0,250.0,1412596.604,1432429.781247105,45967.0,294550.0,764113.5,2624825.5,4235583.0,250.0,307423.176,1033253.2054079252,201.0,336.25,549.5,1417.5,4155278.0,250.0,147.588,1795.8893966936344,0.0,0.0,0.0,0.0,28176.0,250.0,2.832,9.816170578146913,0.0,0.0,0.0,0.0,73.0,250.0,1185474.58,1533426.7555259492,9374.0,99938.75,322914.0,2624825.5,4235583.0,250.0,8.324,11.34326684915968,1.0,1.0,4.0,11.75,120.0,250.0,1042891.864,1550727.5637068965,5733.0,62403.0,203775.0,788004.5,4235583.0,250.0,14.836,21.095144571630506,1.0,2.0,8.0,21.75,225.0,250.0,867130.136,1550466.5166232898,2617.0,25179.5,88379.5,284377.0,4235583.0,250.0,27.388,39.27819448815075,1.0,4.0,14.0,42.0,417.0
cconcisuscurvus,252.0,1956006.107142857,108538.81659965258,1497187.0,1887584.25,1947051.5,2026714.0,2288052.0,252.0,65.77777777777777,82.61829754880435,1.0,19.75,41.0,80.25,584.0,252.0,172701.3325,411739.29417766415,3633.81,23649.61,48609.165,97963.6875,2051359.0,252.0,512294.3214285714,503311.22264500544,47629.0,186019.5,347451.0,592011.0,2052007.0,252.0,86659.30158730158,395821.3464391036,201.0,320.5,439.5,1111.0,2051359.0,252.0,16669.876984126986,37817.16807872804,0.0,0.0,0.0,0.0,176313.0,252.0,16.043650793650794,45.384348875725706,0.0,0.0,0.0,0.0,533.0,252.0,370721.05555555556,531164.1383684578,13132.0,75256.5,170716.0,333236.75,2052007.0,252.0,7.341269841269841,8.113402122328754,1.0,3.0,4.0,9.0,45.0,252.0,287364.11904761905,508705.61637210933,8482.0,50111.5,116279.5,209536.25,2052007.0,252.0,12.678571428571429,14.782212349141677,1.0,4.0,7.0,15.25,79.0,252.0,205329.94444444444,503861.9878200824,706.0,20858.0,49441.5,89017.5,2052007.0,252.0,23.452380952380953,29.851186591524737,1.0,6.75,12.0,27.0,163.0
cdifficile,2044.0,4153502.3390410957,126106.89748387026,3600277.0,4075931.0,4147182.5,4225795.5,4759543.0,2044.0,136.4251467710372,164.6375742661224,1.0,44.0,76.0,169.0,1925.0,2044.0,293470.08169765165,870065.6922422928,2469.02,24336.5275,54795.58,96303.72750000001,4321901.0,2044.0,798338.9456947163,1093889.514213702,27138.0,216465.5,428588.5,747059.25,4355981.0,2044.0,180232.41976516633,841824.8714583601,56.0,237.75,342.0,1008.0,4321901.0,2044.0,514.6379647749511,2039.1923420265448,0.0,0.0,5.0,300.5,57070.0,2044.0,8.11399217221135,15.358187731896036,0.0,0.0,2.0,11.0,179.0,2044.0,545714.2436399218,1131859.7892155903,5262.0,69325.75,164083.5,283241.5,4355981.0,2044.0,17.208904109589042,24.943615298767053,1.0,5.0,8.0,19.0,213.0,2044.0,478546.4339530333,1139325.437282506,3333.0,44838.75,110098.0,184852.25,4355981.0,2044.0,31.015655577299412,46.418426699530436,1.0,9.0,14.0,34.0,397.0,2044.0,404516.16731898236,1141507.127025351,469.0,18247.5,48978.0,91871.0,4355981.0,2044.0,56.769569471624266,86.26803291654352,1.0,15.0,25.0,62.0,742.0
cdiphtheriae,279.0,2424093.2186379926,56298.835232199825,2203576.0,2394309.5,2429918.0,2458134.0,2584983.0,279.0,46.28673835125448,24.51038987827918,1.0,35.0,46.0,57.0,165.0,279.0,265107.7635125448,673821.9876368974,15272.15,42576.66,52661.52,69417.82,2557381.0,279.0,574439.229390681,686283.5878592371,94495.0,295201.5,329121.0,410678.0,2557381.0,279.0,204803.90681003584,682822.0647004583,169.0,268.5,525.0,664.0,2557381.0,279.0,76.14695340501792,382.0067656135135,0.0,0.0,0.0,0.0,3254.0,279.0,1.6093189964157706,5.085745267927735,0.0,0.0,0.0,0.0,36.0,279.0,407441.96415770607,743510.7621932875,34294.0,109973.5,129260.0,177653.0,2557381.0,279.0,5.96415770609319,2.681968551860521,1.0,5.0,6.0,7.0,20.0,279.0,363578.146953405,757955.2081639804,19453.0,70400.0,92284.0,124142.0,2557381.0,279.0,10.182795698924732,4.789706220754308,1.0,8.0,11.0,12.5,37.0,279.0,317565.6129032258,774131.3880028112,11029.0,28725.0,37577.0,54609.5,2557381.0,279.0,18.121863799283155,9.043033932304308,1.0,14.0,19.0,22.5,66.0
cfetus,94.0,1844687.5212765958,90042.31817995344,1727981.0,1770849.0,1822249.0,1901073.75,2188312.0,94.0,73.57446808510639,76.55323390087295,1.0,28.25,57.5,99.75,461.0,94.0,318694.32925531914,583162.6213159823,4087.65,19519.425,31811.35,67471.9025,1863540.0,94.0,672510.2234042553,674361.6737280316,32577.0,246092.0,317446.0,738587.75,2071525.0,94.0,195521.13829787233,555948.8731155244,200.0,207.25,300.5,633.25,1863540.0,94.0,55.5531914893617,232.6399043526965,0.0,0.0,0.0,0.0,1856.0,94.0,0.6382978723404256,2.242555492317739,0.0,0.0,0.0,0.0,16.0,94.0,554906.4042553192,729830.9189703192,6178.0,101841.75,175619.0,322086.0,2071525.0,94.0,6.159574468085107,10.006775330002544,1.0,2.0,4.0,6.0,87.0,94.0,514898.9574468085,750052.8009534434,4176.0,60385.0,104745.0,290336.75,2071525.0,94.0,10.617021276595745,18.491559471200954,1.0,3.0,7.0,10.75,160.0,94.0,458258.07446808513,778457.1583652719,1965.0,16256.75,33698.5,96409.25,2071525.0,94.0,20.180851063829788,33.83418223394715,1.0,5.0,13.5,22.0,286.0
cfreundii,506.0,5272522.885375494,267122.86710331583,4504486.0,5089079.75,5282027.0,5449202.25,6194587.0,506.0,116.2094861660079,198.33326186325783,1.0,5.0,57.5,143.75,1986.0,506.0,782215.347964427,1322056.2521171523,2939.75,37571.2175,91124.905,1085789.0,5359677.0,506.0,2123584.9940711465,2110173.295604233,66624.0,388809.25,812329.0,4908063.75,5384013.0,506.0,337689.82411067194,1217248.8775574542,101.0,216.25,515.0,3804.5,5359677.0,506.0,4293.839920948617,37606.48836238983,0.0,0.0,0.0,20.0,606180.0,506.0,7.695652173913044,38.10582269986088,0.0,0.0,0.0,1.0,486.0,506.0,1902670.7015810276,2248292.844317606,10802.0,135323.25,345722.5,4908063.75,5384013.0,506.0,10.104743083003953,15.408847183291206,1.0,1.0,5.0,12.75,141.0,506.0,1822404.7114624507,2286818.0383541114,6234.0,85168.25,200868.5,4908063.75,5384013.0,506.0,18.537549407114625,30.51147443829197,1.0,1.0,9.0,23.0,272.0,506.0,1582077.4486166008,2271449.3344072904,1374.0,33514.0,86650.5,4881871.5,5384013.0,506.0,36.855731225296445,67.86440278310725,1.0,1.0,16.0,42.0,539.0
