,total_length,total_length,total_length,total_length,total_length,total_length,total_length,total_length,number,number,number,number,number,number,number,number,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,longest,longest,longest,longest,longest,longest,longest,longest,shortest,shortest,shortest,shortest,shortest,shortest,shortest,shortest,N_count,N_count,N_count,N_count,N_count,N_count,N_count,N_count,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,N50,N50,N50,N50,N50,N50,N50,N50,N50n,N50n,N50n,N50n,N50n,N50n,N50n,N50n,N70,N70,N70,N70,N70,N70,N70,N70,N70n,N70n,N70n,N70n,N70n,N70n,N70n,N70n,N90,N90,N90,N90,N90,N90,N90,N90,N90n,N90n,N90n,N90n,N90n,N90n,N90n,N90n
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
chelveticus,14.0,1844051.4285714286,49824.00254235562,1755938.0,1822015.75,1846966.0,1881497.0,1914649.0,14.0,112.92857142857143,70.33596769539999,3.0,65.5,149.0,171.5,185.0,14.0,106431.05428571427,194518.3321768254,10171.58,10596.73,12071.525000000001,28541.92,638216.33,14.0,486868.71428571426,702469.0016344471,74489.0,75131.75,138777.0,277675.75,1811183.0,14.0,3906.6428571428573,11183.448667267472,203.0,207.75,329.0,953.25,42332.0,14.0,33.57142857142857,125.61278369883946,0.0,0.0,0.0,0.0,470.0,14.0,0.07142857142857142,0.2672612419124244,0.0,0.0,0.0,0.0,1.0,14.0,416565.85714285716,737336.3560817939,26651.0,30281.0,33308.0,97270.75,1811183.0,14.0,12.857142857142858,8.420279027508464,1.0,6.25,17.0,19.0,24.0,14.0,400348.14285714284,745794.0345571657,16915.0,18842.25,22192.0,45497.75,1811183.0,14.0,22.714285714285715,14.850167424223626,1.0,12.5,31.0,33.0,40.0,14.0,388015.28571428574,752428.0937684783,5568.0,7075.75,8428.5,16620.25,1811183.0,14.0,42.57142857142857,27.275557628691,1.0,25.75,57.5,63.0,72.0
chyointestinalis,42.0,1779646.357142857,46035.90216915353,1698282.0,1753381.25,1781674.5,1808689.0,1929747.0,42.0,38.095238095238095,26.18769914534864,1.0,20.5,37.0,51.5,91.0,42.0,290524.4692857143,541230.8350825809,20172.33,34020.605,48408.575,86795.9675,1753385.0,42.0,618466.0952380953,580146.1874682467,119211.0,243966.75,403799.0,624917.0,1803736.0,42.0,168066.69047619047,520576.57055340643,200.0,260.5,336.0,506.75,1753385.0,42.0,231.1904761904762,1202.037117200046,0.0,0.0,0.0,0.0,7794.0,42.0,0.6190476190476191,1.833993123805246,0.0,0.0,0.0,0.0,7.0,42.0,500194.9761904762,631544.632272123,47292.0,98282.25,224777.0,480592.0,1803736.0,42.0,4.428571428571429,3.2918440020447366,1.0,2.0,3.0,6.75,13.0,42.0,443117.59523809527,651670.8644687642,30349.0,62482.25,167151.5,269915.0,1803736.0,42.0,7.214285714285714,5.824823725107175,1.0,3.0,5.0,10.75,22.0,42.0,382270.7619047619,677632.4492376348,10666.0,22029.5,79356.0,112144.0,1803736.0,42.0,12.833333333333334,11.510158115221456,1.0,5.0,8.0,20.0,41.0
cinsulaenigrae,4.0,1464292.5,30019.13378164,1426695.0,1455484.5,1465144.0,1473952.0,1500187.0,4.0,4.75,7.5,1.0,1.0,1.0,4.75,16.0,4.0,1129910.8599999999,694024.9104288394,89168.44,1121102.8599999999,1465144.0,1473952.0,1500187.0,4.0,1185472.75,582938.6146827554,311416.0,1176664.75,1465144.0,1473952.0,1500187.0,4.0,1107751.5,738331.8276879305,531.0,1098943.5,1465144.0,1473952.0,1500187.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1164663.5,624541.5138299455,228179.0,1155855.5,1465144.0,1473952.0,1500187.0,4.0,1.5,1.0,1.0,1.0,1.0,1.5,3.0,4.0,1145286.75,663282.2468755288,150672.0,1136478.75,1465144.0,1473952.0,1500187.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,1128809.75,696226.508471381,84764.0,1120001.75,1465144.0,1473952.0,1500187.0,4.0,2.5,3.0,1.0,1.0,1.0,2.5,7.0
cjejuni,1763.0,1685679.9188882587,77853.49979744146,1375599.0,1633142.5,1676498.0,1732423.5,1984978.0,1763.0,47.96596710153148,59.262608193254955,1.0,13.0,27.0,65.0,509.0,1763.0,333490.1285933069,584549.7501624419,3238.83,26665.39,62382.44,124456.795,1822834.0,1763.0,589013.4100964265,543288.8416127651,22883.0,224754.0,350039.0,574738.0,1854330.0,1763.0,264640.28814520704,599300.693865408,81.0,253.0,446.0,807.0,1822834.0,1763.0,134.9705048213273,972.9053416940677,0.0,0.0,0.0,2.0,28293.0,1763.0,2.6409529211571185,9.07059346645875,0.0,0.0,0.0,1.0,129.0,1763.0,455438.25014180376,597125.1950210697,5665.0,109996.5,174327.0,331447.0,1854330.0,1763.0,5.4923425978445835,7.182897087555607,1.0,2.0,4.0,6.0,81.0,1763.0,408953.61883153714,613278.0025636217,3966.0,79301.0,111868.0,192201.0,1854330.0,1763.0,9.35677821894498,13.18106220928244,1.0,4.0,6.0,10.0,150.0,1763.0,365445.5467952354,628890.1972799129,1260.0,24333.5,77508.0,104064.5,1854330.0,1763.0,16.36528644356211,24.67556516459195,1.0,6.0,10.0,17.0,274.0
clanienae,31.0,1597601.4516129033,48671.002875660786,1527499.0,1563421.0,1593985.0,1628602.5,1709330.0,31.0,36.645161290322584,31.368294382594637,1.0,18.5,24.0,53.0,102.0,31.0,231551.60903225807,474273.59733836073,16113.61,32709.524999999998,66559.83,85793.6,1594554.0,31.0,539266.8709677419,441319.6379221257,179464.0,316076.5,332696.0,599101.0,1594554.0,31.0,155564.90322580645,478767.21939221874,201.0,316.5,364.0,615.0,1594554.0,31.0,1006.4516129032259,1212.660486663097,0.0,0.0,555.0,1665.5,3875.0,31.0,3.870967741935484,4.379816856778914,0.0,0.0,4.0,6.0,14.0,31.0,361909.3548387097,504123.6745733166,46880.0,111846.5,156840.0,302875.0,1594554.0,31.0,4.0,2.516611478423583,1.0,2.0,4.0,5.5,10.0,31.0,299629.1612903226,511327.4620428085,28332.0,56097.5,103877.0,150604.5,1594554.0,31.0,7.096774193548387,4.805239076325461,1.0,4.0,6.0,10.0,19.0,31.0,255430.2258064516,527698.9912468855,10415.0,29529.5,43887.0,80222.5,1594554.0,31.0,12.96774193548387,9.751867756034368,1.0,7.0,11.0,17.5,37.0
clari,39.0,1546733.076923077,72515.25401465347,1465880.0,1496039.5,1523028.0,1564020.5,1791508.0,39.0,57.46153846153846,84.49598126658113,1.0,1.0,36.0,83.5,407.0,39.0,528583.488974359,682827.4164790082,3659.94,19454.57,40718.89,1495308.5,1791508.0,39.0,752068.9743589744,646623.5912185244,71925.0,206399.0,409238.0,1514929.5,1791508.0,39.0,438838.8461538461,706336.9866292963,200.0,218.5,552.0,1495308.5,1791508.0,39.0,14.58974358974359,59.4738854450634,0.0,0.0,0.0,0.0,314.0,39.0,0.23076923076923078,0.8724297124919955,0.0,0.0,0.0,0.0,5.0,39.0,658462.6666666666,714633.1578167012,8914.0,101097.0,139880.0,1514929.5,1791508.0,39.0,5.538461538461538,8.36926128239258,1.0,1.0,4.0,6.0,47.0,39.0,638983.2564102564,729984.9507708222,4956.0,64731.0,119628.0,1514929.5,1791508.0,39.0,9.794871794871796,16.40471608567341,1.0,1.0,6.0,9.5,92.0,39.0,612515.7435897436,750558.8203412778,1565.0,16397.0,45184.0,1514929.5,1791508.0,39.0,19.28205128205128,35.18443788616953,1.0,1.0,10.0,21.5,193.0
cmaltaromaticum,35.0,3517839.6285714284,184588.7597196226,3293515.0,3346164.0,3530731.0,3567859.5,4065487.0,35.0,46.57142857142857,51.407418619063435,1.0,18.5,23.0,57.5,229.0,35.0,276227.3925714286,618779.9600449745,14449.16,63379.97,153621.39,179047.28,3650416.0,35.0,898175.1714285715,991616.5247598751,85968.0,521566.5,550433.0,779623.0,3650416.0,35.0,109662.0,616300.1298463655,200.0,500.0,1042.0,4291.0,3650416.0,35.0,778.7714285714286,4101.619056835357,0.0,0.0,3.0,137.0,24334.0,35.0,5.6571428571428575,15.208246325678745,0.0,0.0,1.0,4.5,87.0,35.0,690545.7428571428,1060912.9118069895,25860.0,185952.0,389983.0,499577.0,3650416.0,35.0,6.428571428571429,7.605283435510723,1.0,3.0,4.0,6.5,43.0,35.0,565190.0857142857,1097871.361110575,17440.0,116768.5,208847.0,261652.0,3650416.0,35.0,11.17142857142857,13.327295551712247,1.0,5.0,7.0,11.5,74.0,35.0,376318.22857142857,991574.3925208651,7486.0,53042.0,72225.0,111588.5,3650416.0,35.0,19.62857142857143,23.976809524162782,1.0,9.0,11.0,20.5,130.0
cperfringens,305.0,3377319.2983606555,260460.760995929,2688034.0,3218705.0,3378203.0,3579626.0,4169510.0,305.0,85.09180327868853,77.2704033161817,1.0,30.0,68.0,115.0,509.0,305.0,265278.48475409835,661649.6723115651,6355.81,28441.04,52255.26,108084.0,4006058.0,305.0,1025663.813114754,1013451.9495109965,36751.0,255143.0,564994.0,1428995.0,4006058.0,305.0,114149.46229508196,603955.5207128357,200.0,300.0,513.0,1075.0,4006058.0,305.0,2032.8983606557376,25837.69195494664,0.0,0.0,0.0,0.0,438915.0,305.0,2.236065573770492,10.512367916231446,0.0,0.0,0.0,0.0,132.0,305.0,746344.6196721311,1102036.8230496421,10323.0,71458.0,198145.0,559157.0,4006058.0,305.0,9.068852459016393,10.726497272856943,1.0,2.0,5.0,13.0,98.0,305.0,542124.5180327869,1059760.3788722716,6171.0,45968.0,113496.0,239535.0,4006058.0,305.0,16.875409836065575,20.299668260655547,1.0,4.0,10.0,25.0,179.0,305.0,447054.69836065575,1060065.5786281172,2839.0,19350.0,44080.0,71710.0,4006058.0,305.0,32.39672131147541,38.530191371307474,1.0,9.0,20.0,47.0,330.0
csputorum,9.0,1745929.0,30209.724473255297,1681311.0,1728151.0,1753386.0,1767425.0,1780580.0,9.0,9.555555555555555,17.564958803759765,1.0,1.0,1.0,2.0,51.0,9.0,1170925.2422222223,730045.2614964562,34913.33,883712.5,1681311.0,1752258.0,1757292.0,9.0,1402733.3333333333,620603.7606786636,232553.0,1571179.0,1725016.0,1753084.0,1757292.0,9.0,986779.4444444445,888148.5692370269,230.0,14858.0,1681311.0,1752258.0,1757292.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1366508.3333333333,691046.2069831148,115802.0,1571179.0,1725016.0,1753084.0,1757292.0,9.0,1.7777777777777777,1.7159383568311666,1.0,1.0,1.0,1.0,6.0,9.0,1356191.2222222222,711261.4658679988,87635.0,1571179.0,1725016.0,1753084.0,1757292.0,9.0,2.3333333333333335,2.82842712474619,1.0,1.0,1.0,1.0,9.0,9.0,1189723.888888889,822549.1726244158,27412.0,196246.0,1725016.0,1753084.0,1757292.0,9.0,3.7777777777777777,5.6075346137535735,1.0,1.0,1.0,2.0,17.0
cupsaliensis,18.0,1669764.5,58182.41159061732,1619052.0,1645418.25,1652186.5,1668829.5,1860642.0,18.0,47.94444444444444,47.90980769323348,1.0,2.75,31.5,81.5,147.0,18.0,370340.8872222223,553630.9019802732,11106.92,20385.692499999997,63172.035,711873.225,1671550.0,18.0,809200.2222222222,746913.1564214658,100632.0,142260.75,254303.5,1587134.5,1721939.0,18.0,193542.16666666666,530462.2512049667,205.0,231.0,506.0,30858.5,1671550.0,18.0,3071.5,8873.437149883983,0.0,0.0,0.0,87.5,27462.0,18.0,4.333333333333333,11.203990885604375,0.0,0.0,0.0,1.0,35.0,18.0,761017.7222222222,790522.6152783773,26859.0,63689.75,136086.5,1587134.5,1721939.0,18.0,5.722222222222222,5.015335957963517,1.0,1.0,5.5,9.0,16.0,18.0,746647.5,803481.3783084833,17954.0,41410.0,89780.5,1587134.5,1721939.0,18.0,9.38888888888889,9.108101686952628,1.0,1.0,8.5,15.75,30.0,18.0,731025.1111111111,817707.7956585059,7150.0,15396.0,49850.5,1587134.5,1721939.0,18.0,16.88888888888889,17.63315356296665,1.0,1.0,13.5,28.5,58.0
dnodosus,4.0,1387180.25,55094.98880040422,1317603.0,1371413.25,1389350.0,1405117.0,1452418.0,4.0,13.75,16.640813281407453,1.0,1.0,9.0,21.75,36.0,4.0,724137.75,768270.7475493426,40344.94,68215.78,733428.03,1389350.0,1389350.0,4.0,883969.5,584073.5738817499,348689.0,393539.0,898919.5,1389350.0,1389350.0,4.0,694822.5,801971.2785432739,265.0,310.0,694837.5,1389350.0,1389350.0,4.0,11473.75,22947.5,0.0,0.0,0.0,11473.75,45895.0,4.0,49.25,98.5,0.0,0.0,0.0,49.25,197.0,4.0,798565.5,686328.6210674398,115489.0,253927.0,844711.5,1389350.0,1389350.0,4.0,2.0,1.4142135623730951,1.0,1.0,1.5,2.5,4.0,4.0,745021.5,744289.1447394622,75572.0,113253.5,757582.0,1389350.0,1389350.0,4.0,3.0,2.449489742783178,1.0,1.0,2.5,4.5,6.0,4.0,717332.75,776026.2416531093,34793.0,50576.75,722594.0,1389350.0,1389350.0,4.0,5.25,5.315072906367325,1.0,1.0,4.0,8.25,12.0
ecloacae,341.0,4981044.134897361,295195.9639218238,4214736.0,4733618.0,4991140.0,5163270.0,5880777.0,341.0,119.69501466275659,196.02797130485447,1.0,37.0,68.0,131.0,1536.0,341.0,498689.9449266861,1235336.9401706283,3634.71,38243.36,72052.52,133711.89,5090134.0,341.0,1286511.2228739003,1626114.4268938177,94582.0,347572.0,531959.0,1010236.0,5464191.0,341.0,333188.81231671554,1224749.927419985,124.0,215.0,336.0,577.0,5090134.0,341.0,9953.521994134897,66345.06356358498,0.0,0.0,0.0,1842.0,588202.0,341.0,13.79765395894428,38.28480877208605,0.0,0.0,0.0,16.0,344.0,341.0,999520.8885630498,1730726.5115422464,26432.0,132988.0,211891.0,415046.0,5464191.0,341.0,9.090909090909092,7.663546602198239,1.0,4.0,8.0,12.0,60.0,341.0,894301.6803519061,1746110.222825694,15606.0,83002.0,134023.0,256268.0,5464191.0,341.0,16.052785923753667,13.95023190334045,1.0,7.0,13.0,22.0,110.0,341.0,778169.944281525,1732105.8305499475,619.0,32364.0,60971.0,105046.0,5464191.0,341.0,30.478005865102638,29.08340364841151,1.0,13.0,25.0,40.0,231.0
efaecalis,1828.0,2984893.829868709,161333.8233305606,2603681.0,2871878.25,2964917.5,3071387.25,3599171.0,1828.0,58.67505470459518,70.91656939861052,1.0,20.0,41.0,75.0,1019.0,1828.0,242359.64928884024,538922.0669089078,3159.04,39502.4025,71967.05,150098.8725,3460686.0,1828.0,925770.7521881838,815930.1631805309,37193.0,377157.75,617815.0,1390551.0,3460686.0,1828.0,94889.51039387309,501081.727114174,128.0,257.0,500.0,1106.0,3460686.0,1828.0,7271.527352297593,57955.78147468415,0.0,0.0,98.0,616.0,901236.0,1828.0,8.456236323851204,26.046645653743262,0.0,0.0,1.0,8.0,507.0,1828.0,673351.5443107222,894139.6077663543,5616.0,153160.0,250883.0,624184.75,3460686.0,1828.0,6.262582056892779,8.710447728090953,1.0,2.0,4.0,7.0,134.0,1828.0,496681.45623632387,845709.4829931962,3241.0,89261.0,162908.0,347366.25,3460686.0,1828.0,11.050328227571116,16.314898108028427,1.0,3.0,7.0,12.0,275.0,1828.0,351714.73577680526,812920.2958589211,1191.0,30442.75,60474.0,208724.0,3460686.0,1828.0,20.574945295404813,32.321750100414675,1.0,5.0,13.0,23.0,569.0
efaecium,2339.0,2902879.1564771268,213138.8270071867,2391776.0,2745334.0,2923827.0,3057274.0,3634390.0,2339.0,152.9803334758444,135.74744938714477,1.0,36.0,163.0,211.0,1922.0,2339.0,142923.34734929458,324070.800347722,1712.29,13841.185,18166.64,79800.45000000001,2789811.0,2339.0,662204.3309106455,951687.2043367395,27888.0,122550.0,165304.0,672039.5,3150384.0,2339.0,24251.516887558784,223716.3286986034,46.0,214.0,501.0,1062.5,2789811.0,2339.0,5546.0145361265495,25621.887816698654,0.0,0.0,0.0,316.0,467815.0,2339.0,9.510474561778539,26.522038331702166,0.0,0.0,0.0,7.0,513.0,2339.0,542751.2565198803,985091.9427188716,7094.0,36572.0,49136.0,307424.0,3150384.0,2339.0,17.27319367250962,14.559932323822109,1.0,3.0,19.0,24.0,117.0,2339.0,491395.8520735357,980002.3437721097,3874.0,21373.0,26693.0,201356.5,3150384.0,2339.0,31.929884566053868,27.38697514591171,1.0,6.0,35.0,44.0,225.0,2339.0,298839.40273621207,792538.9610499064,275.0,7688.0,10606.0,76454.0,3150384.0,2339.0,62.61821291150064,55.60697065732256,1.0,10.0,70.0,87.0,598.0
fpsychrophilum,152.0,2744060.0789473685,114172.45346274352,2393201.0,2689971.5,2744418.0,2845654.25,3208574.0,152.0,89.20394736842105,93.43782426931098,1.0,1.0,81.0,129.0,592.0,152.0,888620.5744736842,1292391.0564554343,4530.4,20454.9475,33205.494999999995,2748182.0,3208574.0,152.0,1038837.3157894737,1211207.644744794,30015.0,186484.0,271594.5,2789264.5,3208574.0,152.0,858804.4144736842,1307077.395137152,202.0,519.0,2046.0,2748182.0,3208574.0,152.0,11730.388157894737,36922.101483003156,0.0,0.0,0.0,96.25,279244.0,152.0,15.361842105263158,51.55406720706716,0.0,0.0,0.0,14.0,514.0,152.0,940341.927631579,1273741.583677456,7389.0,64391.5,118062.0,2789264.5,3208574.0,152.0,11.69078947368421,15.820279362505046,1.0,1.0,9.0,14.0,107.0,152.0,918095.7697368421,1288153.110763883,4584.0,38427.25,76545.5,2789264.5,3208574.0,152.0,20.611842105263158,29.32870332913274,1.0,1.0,14.0,24.0,200.0,152.0,891249.6513157894,1305674.2931000371,2100.0,14996.25,21025.5,2789264.5,3208574.0,152.0,37.83552631578947,53.139008517389776,1.0,1.0,27.0,46.0,369.0
gparasuis,94.0,2255486.904255319,127212.57933589669,1761086.0,2182641.0,2249278.5,2325347.25,2570730.0,94.0,112.23404255319149,89.1894715725798,1.0,51.25,119.0,158.25,497.0,94.0,503191.5123404255,898209.5505535823,4190.13,13986.725,19036.71,45589.0075,2479222.0,94.0,703376.4680851063,941688.704671168,31073.0,122678.0,186170.0,424080.5,2520015.0,94.0,419725.0425531915,894878.9931451346,129.0,207.0,504.0,1755.25,2479222.0,94.0,2082.8829787234044,5965.27226366971,0.0,0.0,0.0,254.75,46836.0,94.0,8.106382978723405,17.54347477572755,0.0,0.0,0.0,1.75,92.0,94.0,609396.2340425532,992758.2880151884,7986.0,37872.5,52378.5,141497.0,2520015.0,94.0,14.170212765957446,13.611853071505932,1.0,5.25,14.0,19.0,88.0,94.0,595420.8936170213,1000606.9941015692,4645.0,25471.5,33453.0,72212.0,2520015.0,94.0,25.23404255319149,24.86887138828785,1.0,9.5,25.0,33.0,160.0,94.0,582292.0,1008076.2167821045,1931.0,9442.75,13881.0,29478.5,2520015.0,94.0,46.308510638297875,45.53647400078993,1.0,21.0,45.0,60.0,283.0
hcinaedi,41.0,2128888.0,87916.99395879047,1870243.0,2106965.0,2131745.0,2166525.0,2281576.0,41.0,159.1219512195122,120.8389827667279,1.0,4.0,214.0,254.0,314.0,41.0,506543.68609756086,869400.711461397,6795.93,8407.42,10107.36,474283.25,2240130.0,41.0,711636.6097560975,907610.5859999341,73396.0,110338.0,123942.0,1799081.0,2240130.0,41.0,427789.1219512195,873821.1252456132,200.0,201.0,203.0,23054.0,2240130.0,41.0,807.4634146341464,4956.985420079229,0.0,0.0,0.0,0.0,31761.0,41.0,1.7073170731707317,7.437216893566518,0.0,0.0,0.0,0.0,46.0,41.0,655039.9512195121,942234.3255278103,25696.0,38358.0,46533.0,1799081.0,2240130.0,41.0,11.682926829268293,8.05431258516282,1.0,1.0,15.0,18.0,26.0,41.0,643006.8780487805,950203.9738007623,15298.0,22436.0,24027.0,1799081.0,2240130.0,41.0,21.4390243902439,15.422465400330465,1.0,1.0,28.0,32.0,47.0,41.0,591527.6097560975,953731.6579558654,4084.0,5019.0,5689.0,1799081.0,2240130.0,41.0,45.51219512195122,33.95962452031789,1.0,1.0,61.0,71.0,99.0
hinfluenzae,757.0,1858037.6565389696,59783.63756679463,1752949.0,1814767.0,1847633.0,1890061.0,2078016.0,757.0,53.51783355350066,55.900149658191765,1.0,23.0,43.0,65.0,603.0,757.0,221683.93307793923,530700.6071362144,3196.5,28158.63,43290.36,79955.61,2044007.0,757.0,503278.108322325,483045.0688821393,21004.0,222171.0,353431.0,541963.0,2044007.0,757.0,172993.90224570673,542340.8332317647,200.0,206.0,254.0,436.0,2044007.0,757.0,110.11492734478203,401.24222289076056,0.0,0.0,0.0,0.0,3011.0,757.0,0.7912813738441216,2.7465761410829965,0.0,0.0,0.0,0.0,31.0,757.0,339508.107001321,524803.8793457259,5284.0,93303.0,141198.0,261383.0,2044007.0,757.0,6.417437252311757,8.958612201511796,1.0,3.0,4.0,7.0,111.0,757.0,269363.28665786,526105.042403006,3448.0,56094.0,91920.0,140244.0,2044007.0,757.0,11.277410832232496,16.185259465797063,1.0,5.0,8.0,12.0,203.0,757.0,215628.41347424043,537361.6438265116,1522.0,25877.0,34564.0,67039.0,2044007.0,757.0,20.285336856010566,29.112543143904315,1.0,8.0,14.0,22.0,367.0
hpylori,1866.0,1628833.6103965703,45252.008540517585,1407840.0,1599613.75,1630334.5,1656726.5,1912812.0,1866.0,50.68917470525187,54.45816812728509,1.0,26.0,42.0,59.0,562.0,1866.0,253357.5581189711,522165.80319997895,3265.48,27966.725,38644.55,61259.965000000004,1745797.0,1866.0,457265.102357985,504101.8715979693,24833.0,175958.25,238765.5,390356.5,1745797.0,1866.0,196984.79689174704,528799.0778401814,100.0,223.0,500.0,811.75,1745797.0,1866.0,234.95284030010717,1200.2748420400587,0.0,0.0,0.0,2.0,17878.0,1866.0,3.2615219721329045,9.322991191678064,0.0,0.0,0.0,1.0,85.0,1866.0,337194.2288317256,546479.9051390368,6980.0,66639.25,97212.0,162411.25,1745797.0,1866.0,6.946409431939979,7.069120286976266,1.0,3.0,6.0,8.0,73.0,1866.0,295877.36120042874,552491.6974646951,4146.0,46422.5,57699.5,95619.0,1745797.0,1866.0,12.185959271168274,12.848018011634895,1.0,6.0,10.0,14.0,131.0,1866.0,263172.2100750268,559917.6639291825,1086.0,21803.75,30554.0,46955.75,1745797.0,1866.0,21.612004287245444,24.44797607377762,1.0,12.0,17.5,24.0,256.0
hsuis,34.0,1649183.6764705882,40275.52885097215,1589989.0,1632031.5,1638547.0,1660970.0,1777109.0,34.0,77.73529411764706,56.15687379255809,3.0,53.0,80.0,87.5,319.0,34.0,98207.49147058825,189683.27558332126,5234.98,19012.837499999998,20581.489999999998,30227.59,592369.67,34.0,398326.26470588235,551028.0087962481,93343.0,139247.75,160915.0,218525.25,1726209.0,34.0,1405.735294117647,1750.3777827523238,100.0,513.0,965.0,1030.25,5825.0,34.0,124.08823529411765,181.56247236846335,0.0,0.0,0.0,239.25,793.0,34.0,5.147058823529412,9.651918801041038,0.0,0.0,0.0,7.25,49.0,34.0,306304.9117647059,586562.6027255262,22037.0,43032.25,48708.0,98004.25,1726209.0,34.0,9.470588235294118,6.061479437961255,1.0,5.25,10.0,12.0,25.0,34.0,284961.0294117647,594430.3580983549,11357.0,28326.75,31823.0,72099.5,1726209.0,34.0,16.529411764705884,10.84109827299365,1.0,8.75,18.0,21.75,46.0,34.0,260508.85294117648,604282.475755319,3177.0,8927.0,10146.5,22468.75,1726209.0,34.0,30.647058823529413,20.994779081073982,1.0,18.75,35.5,40.0,98.0
kaerogenes,338.0,5266445.9408284025,168917.4593756351,4942117.0,5137928.5,5257793.0,5363890.0,5833521.0,338.0,126.39644970414201,250.76777579282796,1.0,33.25,58.0,93.75,1781.0,338.0,630195.1828402367,1340334.0741467536,3259.42,57277.902500000004,89993.83499999999,155099.745,5726555.0,338.0,1554444.0857988165,1848006.619450011,33640.0,476364.5,630420.5,1187128.0,5726555.0,338.0,332836.58284023666,1260284.2710308414,112.0,206.25,501.5,773.25,5726555.0,338.0,7278.754437869822,51439.751167727096,0.0,0.0,0.0,558.75,783838.0,338.0,6.650887573964497,26.746352519495346,0.0,0.0,0.0,6.0,432.0,338.0,1290753.9911242602,1969521.944987108,7260.0,181516.75,275078.0,568869.5,5726555.0,338.0,9.606508875739644,16.81004589430867,1.0,4.0,7.0,10.0,207.0,338.0,1184940.7130177515,1988551.282560068,4182.0,115853.0,182092.0,399480.0,5726555.0,338.0,16.597633136094675,31.26508078160749,1.0,6.0,12.0,16.75,392.0,338.0,1010805.2573964497,1970032.1827527282,1699.0,51954.5,83837.0,188699.0,5726555.0,338.0,29.07396449704142,57.951303380205445,1.0,10.0,21.0,29.0,752.0
koxytoca,197.0,6118774.07106599,305477.6884769983,4959239.0,5916943.0,6081370.0,6253078.0,7227285.0,197.0,98.98984771573605,113.1222469435085,1.0,12.0,70.0,121.0,623.0,197.0,577980.8916243655,1182271.4962948249,9631.04,48248.85,88557.84,512426.77,6835957.0,197.0,1992633.9441624365,2268488.5652144505,101252.0,515483.0,783879.0,3210201.0,6835957.0,197.0,188744.1269035533,1023177.8973909854,112.0,208.0,334.0,1223.0,6835957.0,197.0,6541.05076142132,55498.150680877734,0.0,0.0,26.0,1794.0,776957.0,197.0,15.629441624365482,51.71329661833218,0.0,0.0,2.0,18.0,553.0,197.0,1686754.7918781727,2439309.8649521274,18945.0,189077.0,261815.0,3210201.0,6835957.0,197.0,9.213197969543147,11.570336298818239,1.0,1.0,8.0,11.0,98.0,197.0,1581998.3705583757,2459977.8045217614,12081.0,115627.0,171881.0,2519086.0,6835957.0,197.0,15.928934010152284,20.813433294161754,1.0,2.0,14.0,19.0,177.0,197.0,1346682.1370558375,2388371.3390182597,5064.0,44187.0,86883.0,321546.0,6835957.0,197.0,28.573604060913706,38.410523028089735,1.0,3.0,23.0,33.0,319.0
lmonocytogenes,3849.0,2975304.676799169,81328.0153043819,2512999.0,2914471.0,2969897.0,3029511.0,3350928.0,3849.0,33.113276175630034,52.580199636970534,1.0,14.0,21.0,34.0,935.0,3849.0,366083.99595998955,747648.4723171105,3407.88,89410.6,140865.45,209140.29,3101239.0,3849.0,1001195.9644063393,706473.4436959369,34971.0,573586.0,779650.0,1221891.0,3101239.0,3849.0,217202.76305533905,767173.681817765,58.0,270.0,511.0,641.0,3101239.0,3849.0,268.39984411535465,5239.656991807604,0.0,0.0,0.0,99.0,315947.0,3849.0,3.827487659132242,13.429722480209438,0.0,0.0,0.0,3.0,455.0,3849.0,686068.0041569239,771574.0326443176,6252.0,304297.0,476856.0,546962.0,3101239.0,3849.0,3.9475188360613145,6.19765814040963,1.0,2.0,3.0,4.0,132.0,3849.0,523579.7555209145,777399.4156129851,4438.0,201260.0,270655.0,438154.0,3101239.0,3849.0,6.689010132501949,11.418548496790034,1.0,3.0,4.0,6.0,232.0,3849.0,382729.9298519096,810464.8129223479,1814.0,92204.0,126356.0,203611.0,3101239.0,3849.0,11.565601454923357,21.07088623636953,1.0,6.0,7.0,10.0,368.0
